,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,date
356,Kostomuksha,64.571,30.5767,14.25,96,88,5.39,RU,1615605710
357,Vostok,46.4856,135.8833,35.83,89,0,1.95,RU,1615605711
358,Cockburn Town,21.4612,-71.1419,75.2,78,75,11.5,TC,1615605712
359,Kisangani,0.5167,25.2,69.58,97,100,1.5,CD,1615605713
360,Nantucket,41.2835,-70.0995,44.01,58,0,21.27,US,1615605551
361,Labytnangi,66.6572,66.4183,14.2,85,100,18.57,RU,1615605716
362,Garoowe,8.4054,48.4845,61.12,92,0,6.17,SO,1615605620
363,Viedma,-40.8135,-62.9967,63.64,52,0,7.52,AR,1615605718
364,Paita,-5.0892,-81.1144,76.84,74,99,7.38,PE,1615605720
365,Kismayo,-0.3582,42.5454,78.53,77,81,12.5,SO,1615605721
366,Matagami,49.7502,-77.6328,5.0,78,90,16.11,CA,1615605722
367,‘Āhuimanu,21.4447,-157.8378,75.2,83,90,6.91,US,1615605723
368,Kargasok,59.0556,80.8572,-6.38,96,8,7.34,RU,1615605725
369,Gazli,40.1333,63.45,34.81,94,100,21.52,UZ,1615605726
370,Paphos,34.7667,32.4167,46.4,71,20,9.22,CY,1615605652
371,Goderich,43.7501,-81.7165,26.6,68,7,20.71,CA,1615605603
372,Bose,45.4612,8.0137,44.01,45,0,1.01,IT,1615605729
373,Bull Savanna,17.8868,-77.5902,71.98,79,0,7.58,JM,1615605731
374,Rantepao,-2.9701,119.8978,81.3,54,100,1.28,ID,1615605732
375,Hambantota,6.1241,81.1185,78.8,94,20,8.05,LK,1615605733
376,Marinette,45.1,-87.6307,28.4,63,1,3.89,US,1615605732
377,Khandyga,62.6667,135.6,4.82,77,99,3.4,RU,1615605736
378,Taksimo,56.3444,114.8794,24.82,90,94,3.38,RU,1615605737
379,Maridi,4.9158,29.4742,74.84,45,89,4.43,SS,1615605738
380,Aleksandrovsk,59.158,57.5624,-6.0,57,100,4.97,RU,1615605740
381,Skeldon,5.8833,-57.1333,73.38,95,100,5.44,GY,1615605741
382,Kjøllefjord,70.9457,27.3465,18.5,82,95,8.32,NO,1615605733
383,Honiara,-9.4333,159.95,83.61,77,81,5.37,SB,1615605743
384,Winnemucca,40.973,-117.7357,37.4,32,1,5.75,US,1615605744
385,Baie-Saint-Paul,47.4411,-70.4986,32.0,68,6,9.22,CA,1615605482
386,Bemidji,47.4736,-94.8803,28.4,59,1,9.22,US,1615605747
387,Maxixe,-23.8597,35.3472,74.73,89,26,8.61,MZ,1615605748
388,Kāzerūn,29.6195,51.6541,50.32,80,18,2.8,IR,1615605454
389,Amga,60.8953,131.9608,17.98,88,100,8.1,RU,1615605750
390,Esim,4.8699,-2.2405,80.19,86,99,7.52,GH,1615605752
391,Esmeraldas,-19.7625,-44.3139,69.8,83,0,5.75,BR,1615605753
392,Yangjiang,21.85,111.9667,82.0,54,28,9.98,CN,1615605754
393,Ayan,56.45,138.1667,21.16,79,100,3.58,RU,1615605756
394,Sfântu Gheorghe,45.8667,25.7833,34.0,87,100,2.21,RO,1615605586
395,Grants,35.1473,-107.8514,39.2,30,1,10.36,US,1615605758
396,Prince Rupert,54.3161,-130.3201,33.8,93,90,4.94,CA,1615605759
397,Cabo Rojo,18.0866,-67.1457,73.99,95,8,10.36,PR,1615605761
398,Mananjary,-21.2167,48.3333,70.66,86,8,6.69,MG,1615605497
399,Pacifica,37.6138,-122.4869,52.0,93,75,7.47,US,1615605763
400,Tres Arroyos,-38.3739,-60.2798,64.65,37,44,12.21,AR,1615605619
401,Santa Cruz del Sur,20.7147,-77.9956,71.64,82,0,14.23,CU,1615605765
402,Hargeisa,9.56,44.065,61.11,35,42,11.3,SO,1615605767
403,Longyearbyen,78.2186,15.6401,10.4,79,75,5.75,SJ,1615605768
404,Svetlaya,46.5389,138.3297,39.78,63,0,7.99,RU,1615605769
405,Kyshtovka,56.555,76.6271,-6.54,95,20,8.75,RU,1615605771
406,Voh,-20.9667,164.7,85.53,59,97,7.31,NC,1615605772
407,Urucará,-2.5364,-57.76,73.22,94,100,1.32,BR,1615605773
408,Sioux Lookout,50.1001,-91.917,23.0,46,40,8.05,CA,1615605774
409,Salalah,17.0151,54.0924,69.8,83,20,4.61,OM,1615605776
410,Leh,34.1667,77.5833,19.47,72,0,1.54,IN,1615605777
411,Rognan,67.0953,15.3878,35.6,64,0,20.71,NO,1615605735
412,Morondava,-20.2833,44.2833,77.02,66,0,11.74,MG,1615605779
413,Ponto Novo,-10.8628,-40.1336,69.84,78,27,5.03,BR,1615605781
414,Luwuk,-0.9516,122.7875,84.79,75,99,2.84,ID,1615605782
415,Lishu,43.3047,124.3278,45.55,32,28,7.47,CN,1615605783
416,Santa Maria da Vitória,-13.3947,-44.1886,70.09,76,8,1.54,BR,1615605784
417,Aksu,41.1231,80.2644,53.26,28,37,3.6,CN,1615605786
418,Zarubino,42.63,131.0922,38.16,60,17,2.46,RU,1615605787
419,Gigmoto,13.7796,124.39,78.93,85,100,17.83,PH,1615605788
420,Jiayuguan City,39.8167,98.3,55.74,14,69,19.93,CN,1615605789
421,Gashua,12.871,11.0482,76.23,11,47,4.36,NG,1615605791
422,San Francisco de Ojuera,14.7499,-88.1918,68.34,98,7,1.95,HN,1615605792
423,Thunder Bay,48.4001,-89.3168,21.2,53,1,5.75,CA,1615605793
424,Gijang,35.2442,129.2139,57.2,51,20,6.91,KR,1615605795
425,Chala,-7.5833,31.2667,59.0,94,0,3.44,TZ,1615605796
426,Humberto de Campos,-2.5983,-43.4611,75.25,93,98,4.23,BR,1615605797
427,Raudeberg,61.9875,5.1352,37.0,89,80,15.26,NO,1615605798
428,Shakiso,5.75,38.9167,56.03,85,97,3.8,ET,1615605800
429,Três Lagoas,-20.7511,-51.6783,73.6,70,42,2.15,BR,1615605801
430,Ust'-Kut,56.7938,105.7672,25.34,78,100,8.19,RU,1615605802
431,Erenhot,43.6475,111.9767,44.82,38,90,9.46,CN,1615605803
432,Khor,47.8861,134.9464,31.5,93,0,5.44,RU,1615605805
433,Kachīry,53.0675,76.1036,-8.7,94,48,12.82,KZ,1615605806
434,Aiken,33.5835,-81.5998,61.0,72,1,5.68,US,1615605807
435,Saint-Joseph,-21.3667,55.6167,77.0,78,75,6.91,RE,1615605809
436,Namatanai,-3.6667,152.4333,85.53,64,80,5.79,PG,1615605810
437,Jalu,29.0331,21.5482,53.8,46,0,7.09,LY,1615605811
438,Labuhan,-6.8844,112.2051,83.73,71,89,6.06,ID,1615605812
439,De Aar,-30.6497,24.0123,68.56,32,60,11.48,ZA,1615605814
440,Berlevåg,70.8578,29.0864,19.24,84,99,11.52,NO,1615605815
441,Los Llanos de Aridane,28.6585,-17.9182,64.4,63,90,8.05,ES,1615605816
442,La Grande,45.3246,-118.0877,37.99,68,0,4.0,US,1615605576
443,Vila do Maio,15.1333,-23.2167,68.0,68,0,10.36,CV,1615605819
444,Homer,59.6425,-151.5483,23.0,38,1,9.22,US,1615605820
445,Sur,22.5667,59.5289,82.11,30,0,15.32,OM,1615605821
446,Mpika,-11.8343,31.4529,61.02,96,99,2.82,ZM,1615605822
447,Nemuro,43.3236,145.575,39.2,56,0,14.97,JP,1615605824
448,Mayo,38.8876,-76.5119,60.8,29,1,8.05,US,1615605825
449,Kula,38.5473,28.6498,34.05,60,55,2.17,TR,1615605826
450,Bantogon,6.5333,124.0333,83.97,73,84,11.95,PH,1615605828
451,Talnakh,69.4865,88.3972,-8.91,97,100,20.47,RU,1615605829
452,Valdivia,-39.8142,-73.2459,48.2,93,0,3.44,CL,1615605830
453,Kurikka,62.6167,22.4167,26.01,93,90,6.91,FI,1615605831
454,Aden,12.7794,45.0367,77.92,72,1,17.49,YE,1615605556
455,Nísia Floresta,-6.0911,-35.2086,80.6,78,40,9.22,BR,1615605834
456,San Jerónimo,-11.9472,-75.2829,48.11,91,91,2.44,PE,1615605835
457,Serebryansk,49.6925,83.2892,14.0,92,90,24.61,KZ,1615605836
458,Torbay,47.6666,-52.7314,37.99,93,20,26.46,CA,1615605838
459,Kingaroy,-26.5333,151.8333,84.99,51,40,6.91,AU,1615605839
460,Kaura Namoda,12.5898,6.5779,74.07,16,19,5.79,NG,1615605840
461,Longido,-2.7333,36.6833,63.27,77,99,6.4,TZ,1615605841
462,Okhotsk,59.3833,143.3,4.46,66,0,16.84,RU,1615605843
463,Gorontalo,0.5412,123.0595,88.03,63,15,4.41,ID,1615605844
464,Constantine,36.365,6.6147,44.6,70,0,3.44,DZ,1615605845
465,Bam,29.106,58.357,65.3,30,0,17.07,IR,1615605847
466,Nuevitas,21.5453,-77.2644,69.8,94,20,11.5,CU,1615605848
467,Baijiantan,45.6333,85.1833,31.48,88,100,3.04,CN,1615605849
468,Coyhaique,-45.5752,-72.0662,48.43,98,3,5.48,CL,1615605850
469,Half Moon Bay,37.4636,-122.4286,54.0,93,75,6.82,US,1615605852
470,Isla Vista,34.4133,-119.861,53.6,76,40,9.82,US,1615606259
471,West Wendover,40.7391,-114.0733,42.8,28,1,16.11,US,1615606019
472,Saint-Augustin,51.226,-58.6502,27.93,87,100,21.3,CA,1615606261
473,Hede,33.7681,120.2517,58.77,43,95,0.45,CN,1615606238
474,São Filipe,14.8961,-24.4956,69.35,76,0,1.97,CV,1615605984
475,Gamba,-2.65,10.0,74.86,91,100,7.83,GA,1615606265
476,Haines Junction,60.7522,-137.5108,5.0,51,99,6.91,CA,1615606019
477,Gura Teghii,45.4833,26.4167,33.01,96,100,1.19,RO,1615606267
478,Zabaykal'sk,49.6333,117.3167,41.31,58,0,3.4,RU,1615606268
479,Newcastle,-32.9272,151.7765,93.0,54,40,8.05,AU,1615606269
480,Nosy Varika,-20.5833,48.5333,72.32,82,7,7.23,MG,1615606271
481,El Bordo,2.117,-76.9821,66.31,92,100,1.3,CO,1615606272
482,Dingle,10.9995,122.6711,81.64,83,91,6.33,PH,1615606273
483,Koubia,11.5833,-11.9,64.62,28,49,1.77,GN,1615606275
484,Raebareli,26.2167,81.2333,68.0,88,75,7.76,IN,1615606276
485,Coquimbo,-29.9533,-71.3436,60.8,82,90,4.61,CL,1615606233
486,Tiksi,71.6872,128.8694,-11.92,94,100,8.43,RU,1615606279
487,Marzuq,14.4,46.4667,65.64,15,100,3.98,YE,1615606280
488,Iqaluit,63.7506,-68.5145,-13.0,58,1,8.05,CA,1615606212
489,Caucayá,-0.1934,-74.7819,71.08,88,66,0.81,CO,1615606282
490,Palmer,42.1584,-72.3287,48.2,39,40,19.57,US,1615606284
491,Thoen,17.6129,99.2161,101.55,21,4,3.29,TH,1615606285
492,Zhigansk,66.7697,123.3711,1.69,93,100,15.75,RU,1615606286
493,Zhangzhou,24.5133,117.6556,69.8,56,75,8.95,CN,1615606288
494,Helong,42.5397,128.9972,48.34,67,99,3.04,CN,1615606289
495,Loreto,22.2667,-101.9667,62.08,41,1,12.37,MX,1615606290
496,Lerwick,60.1545,-1.1494,41.0,81,75,24.16,GB,1615606292
497,Formosa do Rio Preto,-11.0483,-45.1931,69.22,92,12,2.24,BR,1615606293
498,Taldan,53.6667,124.8,34.2,99,13,3.56,RU,1615606294
499,Nsanje,-16.92,35.262,72.63,98,54,4.32,MW,1615606083
500,Swan Hill,-35.3378,143.5544,71.71,59,76,18.68,AU,1615606296
501,Waverley,-25.7023,28.2591,62.6,94,0,3.44,ZA,1615606298
502,Fairbanks,64.8378,-147.7164,-5.8,59,1,1.34,US,1615606090
503,Platýkampos,39.6167,22.5333,35.6,93,20,0.87,GR,1615606300
504,Guozhen,34.3659,107.359,68.5,46,0,6.38,CN,1615606301
505,Oranjemund,-28.55,16.4333,63.93,75,7,3.83,NA,1615606303
506,Yadgir,16.7667,77.1333,78.19,24,91,1.99,IN,1615606304
507,Muroto-misakicho,33.2833,134.15,62.6,51,75,24.16,JP,1615606305
508,Port-Cartier,50.0334,-66.8654,26.01,58,90,17.27,CA,1615606027
509,Keti Bandar,24.1447,67.4497,80.35,40,100,11.86,PK,1615606308
510,Abū Zabad,12.35,29.25,74.8,18,71,12.19,SD,1615606309
511,Kumul,42.8,93.45,55.96,26,100,6.93,CN,1615606310
512,Ballina,-28.8667,153.5667,84.2,74,40,16.11,AU,1615606311
513,Barranca,-10.75,-77.7667,70.2,88,0,4.76,PE,1615606313
514,Taunggyi,20.7833,97.0333,85.64,16,10,2.68,MM,1615606314
515,Beringovskiy,63.05,179.3167,32.05,85,92,24.38,RU,1615606315
516,Avigliano,40.7329,15.72,53.01,88,100,3.0,IT,1615606317
517,Moreira Sales,-24.0622,-53.0069,66.31,75,0,3.06,BR,1615606318
518,Winsum,53.33,6.5208,43.0,91,100,5.99,NL,1615606319
519,Ürümqi,43.801,87.6005,28.4,93,90,8.95,CN,1615606320
520,Griffith,41.5284,-87.4237,39.0,60,1,5.75,US,1615606322
521,Aksarka,66.5606,67.7975,15.55,81,100,18.41,RU,1615606323
522,East Wenatchee Bench,47.4257,-120.2812,46.4,39,1,8.05,US,1615606324
523,Kollo,13.3043,2.339,82.4,15,20,8.05,NE,1615606326
524,Turukhansk,65.8167,87.9833,-8.84,97,100,22.1,RU,1615606327
525,Ryōtsu-minato,38.0833,138.4333,53.6,71,75,2.3,JP,1615606037
526,Dauriya,49.9333,116.8667,33.24,89,0,3.02,RU,1615606329
527,Codrington,-38.2667,141.9667,59.58,73,100,20.0,AU,1615606331
528,Tolaga Bay,-38.3667,178.3,63.05,70,92,14.7,NZ,1615606332
529,Nouadhibou,20.931,-17.0347,68.0,42,0,12.66,MR,1615606333
530,Vestmanna,62.1564,-7.1664,37.4,87,75,11.5,FO,1615606334
531,Huallanca,-9.8993,-76.9417,42.76,94,96,1.63,PE,1615606336
532,Gimli,50.6336,-96.9907,35.6,69,67,11.5,CA,1615606337
533,Bluefields,12.0137,-83.7635,74.77,91,16,8.52,NI,1615606338
534,Kalevala,65.2,31.1667,14.34,96,88,4.79,RU,1615606340
535,Chipinge,-20.1883,32.6236,61.61,97,45,4.97,ZW,1615606341
536,Ongandjera,-17.8833,15.0667,73.08,61,7,6.08,NA,1615606342
537,Alta Gracia,-31.6529,-64.4283,66.0,94,2,1.01,AR,1615606163
538,Luga,58.7372,29.8453,35.06,92,100,10.09,RU,1615606344
539,Palmares,-8.6833,-35.5917,72.93,92,28,1.83,BR,1615606346
540,Te Anau,-45.4167,167.7167,67.77,48,0,7.56,NZ,1615606347
541,Tuntum,-5.2581,-44.6489,71.78,96,100,1.95,BR,1615606348
542,Nurota,40.5614,65.6886,44.6,87,100,2.3,UZ,1615606350
543,Jhālrapātan,24.55,76.1667,77.72,43,0,1.21,IN,1615606351
544,Linjiang,41.8069,126.9078,46.22,81,100,3.0,CN,1615606352
545,Purpe,64.4803,76.6897,10.76,88,100,25.9,RU,1615606353
546,Norman Wells,65.282,-126.8329,-4.0,65,75,14.97,CA,1615606355
547,Acarí,-15.4311,-74.6158,75.06,79,18,1.83,PE,1615606357
548,Santa Maria,-29.6842,-53.8069,60.8,100,0,3.44,BR,1615606358
549,Arica,-18.475,-70.3042,69.8,78,0,6.91,CL,1615606360
550,Cootamundra,-34.65,148.0333,91.0,36,38,5.01,AU,1615606361
551,Ocean City,39.2776,-74.5746,59.0,25,1,17.27,US,1615606362
552,Kattivākkam,13.2167,80.3167,78.8,78,20,3.44,IN,1615606363
553,Erzin,36.9559,36.2,46.0,44,0,8.01,TR,1615606365
554,Camacha,33.0833,-16.3333,62.6,72,75,14.97,PT,1615606366
555,Coxim,-18.5067,-54.76,74.64,84,1,2.44,BR,1615606367
556,Hutang,31.5333,119.4833,54.0,66,94,1.99,CN,1615606369
557,Nome,64.5011,-165.4064,3.2,78,90,19.57,US,1615606370
558,Bodden Town,19.2833,-81.25,79.0,61,0,10.36,KY,1615606371
559,Tabou,4.423,-7.3528,77.41,90,67,6.8,CI,1615606373
560,Macenta,8.5435,-9.471,69.04,94,91,1.14,GN,1615606374
561,Rochegda,62.8,43.25,10.17,92,100,9.51,RU,1615606376
562,Mirik,26.8945,88.1848,71.38,28,0,5.17,IN,1615606377
